4.736	0	1845	1897.4	-1.2189
4.768	0	1853	1872.2	-0.4454
4.8	0	1920	1847.4	1.6569
4.832	0	1842	1823	0.442
4.864	0	1803	1799.1	0.093
4.896	0	1865	1775.5	2.0733
4.928	0	1761	1752.3	0.2085
4.96	0	1716	1729.4	-0.3238
4.992	0	1751	1706.9	1.053
5.024	0	1694	1684.8	0.223
5.056	0	1737	1663.1	1.7743
5.088	0	1598	1641.6	-1.0914
5.12	0	1715	1620.5	2.2809
5.152	0	1581	1599.8	-0.4725
5.184	0	1564	1579.4	-0.3883
5.216	0	1571	1559.2	0.2966
5.248	0	1572	1539.4	0.8211
5.28	0	1604	1520	2.0986
5.312	0	1543	1500.8	1.0754
5.344	0	1480	1481.9	-0.0483
5.376	0	1504	1463.3	1.0508
5.408	0	1457	1444.9	0.3163
5.44	0	1406	1426.9	-0.5568
5.472	0	1456	1409.1	1.2289
5.504	0	1370	1391.6	-0.5837
5.536	0	1397	1374.4	0.6056
5.568	0	1432	1357.4	1.9718
5.6	0	1379	1340.7	1.0326
5.632	0	1295	1324.2	-0.8108
5.664	0	1350	1307.9	1.1446
5.696	0	1253	1292	-1.1004
5.728	0	1276	1276.2	-0.0054
5.76	0	1252	1260.7	-0.245
5.792	0	1258	1245.4	0.3561
5.824	0	1223	1230.3	-0.2087
5.856	0	1225	1215.4	0.2731
5.888	0	1151	1200.8	-1.468
5.92	0	1201	1186.4	0.422
5.952	0	1164	1172.2	-0.2391
5.984	0	1185	1158.1	0.7802
6.016	0	1168	1144.3	0.6926
6.048	0	1108	1130.7	-0.6823
6.08	0	1166	1117.3	1.4265
6.112	0	1117	1104.1	0.3873
6.144	0	1046	1091	-1.3917
6.176	0	1081	1078.1	0.0868
6.208	0	1118	1065.5	1.5712
6.24	0	1072	1053	0.5815
6.272	0	1064	1040.6	0.7164
6.304	0	1055	1028.5	0.8166
6.336	0	1066	1016.5	1.5166
6.368	0	1006	1004.7	0.0422
6.4	0	1045	993	1.6086
6.432	0	959	981.5	-0.7258
6.464	0	961	970.2	-0.295
6.496	0	1008	959	1.5444
6.528	0	906	947.9	-1.3915
6.56	0	900	937	-1.2334
6.592	0	932	926.3	0.1864
6.624	0	918	915.7	0.0755
6.656	0	891	905.3	-0.4771
6.688	0	876	894.9	-0.6393
6.72	0	910	884.8	0.8355
6.752	0	875	874.7	0.0092
6.784	0	869	864.8	0.1416
6.816	0	863	855	0.2704
6.848	0	846	845.4	0.0206
6.88	0	819	835.9	-0.5891
6.912	0	851	826.5	0.8394
6.944	0	796	817.2	-0.7509
6.976	0	857	808.1	1.6697
7.008	0	842	799	1.4791
7.04	0	770	790.1	-0.7239
7.072	0	760	781.3	-0.7722
7.104	0	734	772.6	-1.4239
7.136	0	762	764.1	-0.0743
7.168	0	731	755.6	-0.9082
7.2	0	722	747.2	-0.9377
7.232	0	726	739	-0.4811
7.264	0	759	730.8	1.021
7.296	0	730	722.8	0.2664
7.328	0	769	714.9	1.9501
7.36	0	721	707	0.5203
7.392	0	689	699.3	-0.3906
7.424	0	697	691.6	0.2034
7.456	0	691	684.1	0.2631
7.488	0	669	676.6	-0.294
7.52	0	594	669.3	-3.0825
7.552	0	645	662	-0.6676
7.584	0	667	654.8	0.4717
7.616	0	655	647.7	0.2845
7.648	0	638	640.7	-0.1068
7.68	0	652	633.8	0.7124
7.712	0	633	626.9	0.2402
7.744	0	608	620.2	-0.4937
7.776	0	610	613.5	-0.1425
7.808	0	622	606.9	0.603
7.84	0	614	600.4	0.5469
7.872	0	607	594	0.5269
7.904	0	569	587.6	-0.7802
7.936	0	550	581.4	-1.3351
7.968	0	579	575.2	0.159
8	0	556	569	-0.5521
8.032	0	592	563	1.1904
8.064	0	585	557	1.1554
8.096	0	555	551.1	0.1654
8.128	0	561	545.3	0.6635
8.16	0	539	539.5	-0.0209
8.192	0	562	533.8	1.1881
8.224	0	532	528.1	0.1667
8.256	0	526	522.6	0.1489
8.288	0	527	517.1	0.4315
8.32	0	537	511.6	1.0925
8.352	0	523	506.3	0.7306
8.384	0	503	500.9	0.0914
8.416	0	509	495.7	0.5886
8.448	0	549	490.5	2.492
8.48	0	492	485.4	0.2981
8.512	0	546	480.3	2.8065
8.544	0	485	475.3	0.44
8.576	0	455	470.3	-0.7174
8.608	0	464	465.4	-0.0666
8.64	0	441	460.6	-0.9311
8.672	0	428	455.8	-1.3412
8.704	0	470	451.1	0.8709
8.736	0	434	446.4	-0.5939
8.768	0	456	441.8	0.6646
8.8	0	426	437.2	-0.5416
8.832	0	417	432.7	-0.7663
8.864	0	398	428.2	-1.5108
8.896	0	418	423.8	-0.2829
8.928	0	425	419.4	0.2696
8.96	0	407	415.1	-0.401
8.992	0	436	410.8	1.2023
9.024	0	422	406.6	0.7471
9.056	0	383	402.4	-0.9908
9.088	0	391	398.3	-0.3688
9.12	0	395	394.2	0.0387
9.152	0	368	390.2	-1.1537
9.184	0	372	386.2	-0.7342
9.216	0	390	382.3	0.3914
9.248	0	387	378.3	0.4388
9.28	0	386	374.5	0.5846
9.312	0	349	370.7	-1.1565
9.344	0	381	366.9	0.721
9.376	0	344	363.2	-1.0298
9.408	0	397	359.5	1.8793
9.44	0	320	355.8	-1.9955
9.472	0	362	352.2	0.5139
9.504	0	352	348.6	0.1796
9.536	0	339	345.1	-0.3296
9.568	0	315	341.6	-1.4935
9.6	0	351	338.1	0.6849
9.632	0	341	334.7	0.3395
9.664	0	314	331.3	-0.9749
9.696	0	335	328	0.3822
9.728	0	317	324.7	-0.4296
9.76	0	311	321.4	-0.5878
9.792	0	311	318.2	-0.4047
9.824	0	277	315	-2.2724
9.856	0	279	311.8	-1.9559
9.888	0	295	308.7	-0.7922
9.92	0	291	305.6	-0.8501
9.952	0	296	302.5	-0.3755
9.984	0	304	299.4	0.2603
10.016	0	291	296.4	-0.3181
10.048	0	291	293.5	-0.1445
10.08	0	282	290.5	-0.5065
10.112	0	280	287.6	-0.4542
10.144	0	293	284.8	0.4803
10.176	0	279	281.9	-0.1733
10.208	0	269	279.1	-0.6129
10.24	0	287	276.3	0.6292
